Q001	0	0EaaJIVa4ba41vIwywnDSk	0
Q001	0	0WKqlUwMcxvJj8HS5Kah7Q	0
Q001	0	0Z8r8pxVlfGhPsIpIS9iuQ	0
Q001	0	0aASUtDb1N96NJDwmWj5Gf	2
Q001	0	0rnFlWFOfTRmVQVm28DK09	0
Q001	0	1b81VVDS5eo8pM4KQNz5ht	0
Q001	0	1uq4q0E2gnjj9aMtUwgH79	0
Q001	0	254JaESam5mifhztU0ZYLu	0
Q001	0	2E1oY9rvHV5kW1B6UDilVM	0
Q001	0	2IFYyOF3k44NTRtLrFqbJC	0
Q001	0	2NCz6ejDaRrIcCKrcdIeN5	0
Q001	0	2Xne8MTyHbdCS5JC3pzFzy	0
Q001	0	35IN0nKkbuQh4DMxIv4R1E	0
Q001	0	3OGCwZYxjNuwiQF2596Rfe	1
Q001	0	3edcczAZsUhCoJqIrbEIf1	0
Q001	0	4D5QLMjOP8bxl45X1T3878	0
Q001	0	4Ke9IKrXZkUzkfZWEJD80x	0
Q001	0	4L3yuvS8NGf9aMJgBUdC3L	0
Q001	0	4OlpR5EwULijrATzM9VG3F	0
Q001	0	4v6jsg565K1368alKNWEmE	0
Q001	0	4xbuKwtdpmkBaCiSWyxHEe	0
Q001	0	59WWulo1LM0njpIkcduCMn	0
Q001	0	5DVf59dCoK2ch5O3gHZ7My	0
Q001	0	5oMrBl6Xl0BUXDwUfyMGM1	0
Q001	0	6KdFJEdLBQJXfpnP8iRiMA	0
Q001	0	6nN2sEXORqevqEuJI06kFW	0
Q001	0	6nvkj9zYRUk4Vmx1hHBC34	0
Q001	0	6wnCBT8ip4i9HRhM3HVk6d	0
Q001	0	7409ELyKbX3155QzCWUFDJ	0
Q001	0	7780NkTR99EOyx8qkPx6NZ	0
Q001	0	7BbYvCWtaJ9CPNGBwnJjiE	0
Q001	0	7jbAkl1eWMlgfSgi6XGbyI	0
Q001	0	7qLMTz166ng0DHlE0NeZLe	0
Q001	0	7r1VxuU92S2GKWvEX6ivqF	0
Q001	0	7rNV6LGjOGm5muGYX7Z0Gw	0
Q002	0	07TsgfuIWgAd4Ds39uwtaH	0
Q002	0	0rFYlonvFauCaKTphNG3ou	0
Q002	0	0sK1yCRrqXAY4JLe3Nd8qN	0
Q002	0	1BT34SIR55hjDG8mFkZO3A	0
